VEL_TYPE,MESH_TYPE,VELOCITY,ORDER,RES,DT,COURANT,W_NORM,V_NORM
v_rigid_body,simp_irreg,1,1,64,0.1,15.0398,0.00085734,0.00009762
v_rigid_body,simp_irreg,1,1,64,0.01,1.50398,0.00166828,0.00073477
v_rigid_body,simp_irreg,1,1,64,0.001,0.1504,0.01387883,0.00746594
v_rigid_body,simp_irreg,1,1,64,0.00125,0.188,0.01212113,0.00676706
v_rigid_body,simp_irreg,1,1,64,0.0025,0.376,0.00788078,0.00469855
v_rigid_body,simp_irreg,1,1,64,0.005,0.75199,0.00394975,0.00233472
v_rigid_body,simp_irreg,1,1,64,0.00625,0.93999,0.00279433,0.00158214
v_rigid_body,simp_irreg,1,1,64,0.0125,1.87998,0.00170017,0.00036407
v_rigid_body,simp_irreg,1,1,64,0.025,3.75996,0.00123328,0.000329
v_rigid_body,simp_irreg,1,1,64,0.05,7.51992,0.00098885,0.00021346
v_rigid_body,simp_irreg,1,1,128,0.5,151.811,,
v_rigid_body,simp_irreg,1,1,128,0.1,30.3621,0.00098425,0.00003418
v_rigid_body,simp_irreg,1,1,128,0.01,3.03621,0.00335018,0.00020794
v_rigid_body,simp_irreg,1,1,128,0.001,0.30362,0.02618139,0.00202917
v_rigid_body,simp_irreg,1,1,128,0.00125,0.37953,0.02180574,0.00169075
v_rigid_body,simp_irreg,1,1,128,0.0025,0.75905,0.0120155,0.00076348
v_rigid_body,simp_irreg,1,1,128,0.005,1.51811,0.00639513,0.00027069
v_rigid_body,simp_irreg,1,1,128,0.00625,1.89763,0.00517238,0.00026012
v_rigid_body,simp_irreg,1,1,128,0.0125,3.79527,0.00284913,0.0001077
v_rigid_body,simp_irreg,1,1,128,0.025,7.59054,0.00172428,0.00009444
v_rigid_body,simp_irreg,1,1,128,0.05,15.1811,0.00136217,0.00005152
v_rigid_body,struct_quad,1,1,16,0.5,11.3137,0.00059217,0.00017333
v_rigid_body,struct_quad,1,1,16,0.1,2.26274,0.00721332,0.0039654
v_rigid_body,struct_quad,1,1,16,0.01,0.22627,0.09552684,0.06142424
v_rigid_body,struct_quad,1,1,16,0.001,0.02263,0.16749035,0.09836779
